ID,DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
1,2020-12-22,BRK,GSW,125.0,99.0,26,1,0.457,0.813,0.429,24,57,0.374,0.652,0.303,26,47
2,2020-12-22,LAL,LAC,109.0,116.0,-7,0,0.469,0.774,0.31,22,45,0.473,0.737,0.35,22,40
3,2020-12-23,CLE,CHO,121.0,114.0,7,1,0.529,0.75,0.467,34,50,0.5,0.5329999999999999,0.364,29,32
4,2020-12-23,IND,NYK,121.0,107.0,14,1,0.489,0.7240000000000001,0.235,28,50,0.45899999999999996,0.7390000000000001,0.429,25,40
5,2020-12-23,ORL,MIA,113.0,107.0,6,1,0.47700000000000004,0.633,0.35700000000000004,23,41,0.506,0.8420000000000001,0.35,25,43
6,2020-12-23,PHI,WAS,113.0,107.0,6,1,0.47100000000000003,0.767,0.28600000000000003,22,47,0.45899999999999996,0.696,0.48100000000000004,28,40
7,2020-12-23,TOR,NOP,99.0,113.0,-14,0,0.42700000000000005,0.75,0.304,26,35,0.525,0.5,0.452,30,45
8,2020-12-23,BOS,MIL,122.0,121.0,1,1,0.475,0.727,0.45,23,37,0.511,0.833,0.4,19,52
9,2020-12-23,CHI,ATL,104.0,124.0,-20,0,0.414,0.857,0.22899999999999998,20,37,0.5379999999999999,0.828,0.4,24,46
10,2020-12-23,MEM,SAS,119.0,131.0,-12,0,0.516,0.611,0.37,27,42,0.505,0.862,0.4,28,48
11,2020-12-23,MIN,DET,111.0,101.0,10,1,0.43200000000000005,0.857,0.268,25,48,0.484,0.375,0.22899999999999998,29,44
12,2020-12-23,DEN,SAC,122.0,124.0,-2,0,0.48,0.833,0.276,28,46,0.441,0.774,0.32299999999999995,27,54
13,2020-12-23,POR,UTA,100.0,120.0,-20,0,0.402,0.8240000000000001,0.364,23,40,0.457,0.789,0.38,24,59
14,2020-12-23,PHO,DAL,106.0,102.0,4,1,0.48100000000000004,0.7040000000000001,0.36700000000000005,21,48,0.424,0.8079999999999999,0.243,17,39
15,2020-12-25,MIA,NOP,111.0,98.0,13,1,0.507,0.826,0.43200000000000005,29,35,0.397,0.7879999999999999,0.28600000000000003,18,41
16,2020-12-25,MIL,GSW,138.0,99.0,39,1,0.556,0.6920000000000001,0.556,25,60,0.34299999999999997,0.84,0.222,14,43
17,2020-12-25,BOS,BRK,95.0,123.0,-28,0,0.37799999999999995,0.684,0.29600000000000004,23,47,0.539,0.8390000000000001,0.517,21,43
