DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2020-12-22,BRK,GSW,125.0,99.0,26,.457,.813,.429,24,57,.374,.652,.303,26,47
2020-12-22,LAL,LAC,109.0,116.0,-7,.469,.774,.310,22,45,.473,.737,.350,22,40
2020-12-23,CLE,CHO,121.0,114.0,7,.529,.750,.467,34,50,.500,.533,.364,29,32
2020-12-23,IND,NYK,121.0,107.0,14,.489,.724,.235,28,50,.459,.739,.429,25,40
2020-12-23,ORL,MIA,113.0,107.0,6,.477,.633,.357,23,41,.506,.842,.350,25,43
2020-12-23,PHI,WAS,113.0,107.0,6,.471,.767,.286,22,47,.459,.696,.481,28,40
2020-12-23,TOR,NOP,99.0,113.0,-14,.427,.750,.304,26,35,.525,.500,.452,30,45
2020-12-23,BOS,MIL,122.0,121.0,1,.475,.727,.450,23,37,.511,.833,.400,19,52
2020-12-23,CHI,ATL,104.0,124.0,-20,.414,.857,.229,20,37,.538,.828,.400,24,46
2020-12-23,MEM,SAS,119.0,131.0,-12,.516,.611,.370,27,42,.505,.862,.400,28,48
2020-12-23,MIN,DET,111.0,101.0,10,.432,.857,.268,25,48,.484,.375,.229,29,44
2020-12-23,DEN,SAC,122.0,124.0,-2,.480,.833,.276,28,46,.441,.774,.323,27,54
2020-12-23,POR,UTA,100.0,120.0,-20,.402,.824,.364,23,40,.457,.789,.380,24,59
2020-12-23,PHO,DAL,106.0,102.0,4,.481,.704,.367,21,48,.424,.808,.243,17,39
2020-12-25,MIA,NOP,111.0,98.0,13,.507,.826,.432,29,35,.397,.788,.286,18,41
2020-12-25,MIL,GSW,138.0,99.0,39,.556,.692,.556,25,60,.343,.840,.222,14,43
2020-12-25,BOS,BRK,95.0,123.0,-28,.378,.684,.296,23,47,.539,.839,.517,21,43
2020-12-25,LAL,DAL,138.0,115.0,23,.560,.708,.487,33,53,.494,.769,.406,20,27
2020-12-25,DEN,LAC,108.0,121.0,-13,.457,.742,.306,25,32,.554,.833,.500,32,38
2020-12-26,MEM,ATL,112.0,122.0,-10,.398,.862,.302,20,46,.427,.868,.361,23,54
2020-12-26,CHO,OKC,107.0,109.0,-2,.398,.625,.406,27,47,.455,.792,.278,25,54
2020-12-26,DET,CLE,119.0,128.0,-9,.408,.719,.356,24,57,.485,.633,.433,29,51
2020-12-26,WAS,ORL,120.0,130.0,-10,.484,.536,.351,28,43,.505,.793,.355,25,54
2020-12-26,NYK,PHI,89.0,109.0,-20,.386,.739,.276,19,43,.466,.727,.355,20,47
2020-12-26,CHI,IND,106.0,125.0,-19,.374,.880,.410,23,41,.559,.632,.346,34,49
2020-12-26,SAS,TOR,119.0,114.0,5,.470,.688,.412,36,53,.458,.733,.366,32,46
2020-12-26,UTA,MIN,111.0,116.0,-5,.383,.784,.294,15,57,.446,.722,.448,21,40
2020-12-26,POR,HOU,128.0,126.0,2,.461,.652,.422,27,45,.517,.781,.314,27,42
2020-12-26,SAC,PHO,106.0,103.0,3,.453,.697,.217,20,56,.418,.769,.250,25,40
2020-12-27,LAC,DAL,73.0,124.0,-51,.342,.850,.121,13,36,.494,.889,.341,25,54
2020-12-27,NOP,SAS,98.0,95.0,3,.383,.724,.208,15,56,.427,1.000,.306,26,47
2020-12-27,WAS,ORL,113.0,120.0,-7,.485,.846,.250,27,47,.435,.974,.360,19,45
2020-12-27,CHO,BRK,106.0,104.0,2,.448,.588,.294,35,52,.427,.680,.362,23,46
2020-12-27,CLE,PHI,118.0,94.0,24,.527,.813,.391,31,45,.418,.727,.324,24,39
2020-12-27,NYK,MIL,130.0,110.0,20,.541,.815,.593,27,46,.432,.724,.184,24,44
2020-12-27,IND,BOS,108.0,107.0,1,.511,.733,.269,23,37,.506,.750,.391,21,40
2020-12-27,CHI,GSW,128.0,129.0,-1,.512,.742,.415,27,54,.404,.900,.383,25,41
2020-12-27,SAC,PHO,100.0,116.0,-16,.474,.720,.435,21,39,.489,.909,.400,34,44
2020-12-27,LAL,MIN,127.0,91.0,36,.556,.778,.371,32,46,.369,.643,.171,24,48
2020-12-28,BRK,MEM,111.0,116.0,-5,.410,.882,.333,28,50,.429,.759,.345,20,56
2020-12-28,ATL,DET,128.0,120.0,8,.488,.875,.476,30,45,.439,.875,.317,24,48
2020-12-28,OKC,UTA,109.0,110.0,-1,.465,.737,.395,21,37,.500,.786,.361,24,43
2020-12-28,DEN,HOU,124.0,111.0,13,.529,.563,.452,31,52,.453,.739,.410,25,38
2020-12-28,LAL,POR,107.0,115.0,-8,.471,.833,.370,20,41,.467,.867,.348,27,45
2020-12-29,CLE,NYK,86.0,95.0,-9,.364,.682,.219,22,43,.430,.619,.560,23,55
2020-12-29,DET,GSW,106.0,116.0,-10,.380,.793,.371,21,45,.500,.722,.424,21,40
2020-12-29,IND,BOS,111.0,116.0,-5,.512,.813,.364,27,36,.500,.730,.409,21,43
2020-12-29,WAS,CHI,107.0,115.0,-8,.440,.885,.270,25,47,.437,.750,.417,26,37
2020-12-29,PHI,TOR,100.0,93.0,7,.381,.848,.258,21,54,.356,.857,.378,21,47
2020-12-29,MIA,MIL,97.0,144.0,-47,.468,.667,.297,23,30,.554,.867,.569,32,45
2020-12-29,OKC,ORL,107.0,118.0,-11,.494,.526,.324,20,47,.510,.813,.318,26,46
2020-12-29,PHO,NOP,111.0,86.0,25,.440,.947,.404,24,43,.481,.500,.125,18,41
2020-12-29,SAC,DEN,125.0,115.0,10,.489,.773,.485,33,37,.543,.800,.393,27,39
2020-12-29,LAC,MIN,124.0,101.0,23,.534,.875,.516,32,46,.416,.824,.342,22,39
2020-12-30,MIA,MIL,119.0,108.0,11,.488,.828,.385,25,52,.392,.923,.390,26,47
2020-12-30,BRK,ATL,145.0,141.0,4,.540,.783,.463,30,40,.475,.829,.391,27,54
2020-12-30,BOS,MEM,126.0,107.0,19,.538,.857,.410,27,42,.430,.720,.273,26,46
2020-12-30,DAL,CHO,99.0,118.0,-19,.391,.576,.286,24,39,.512,.810,.441,30,50
2020-12-30,SAS,LAL,107.0,121.0,-14,.460,.739,.417,25,39,.561,.750,.538,25,47
2020-12-30,LAC,POR,128.0,105.0,23,.495,.727,.474,30,47,.421,.853,.316,14,41
2020-12-31,IND,CLE,119.0,99.0,20,.483,.792,.457,28,44,.451,.542,.522,22,43
2020-12-31,WAS,CHI,130.0,133.0,-3,.500,.780,.483,27,37,.543,.760,.389,34,44
2020-12-31,ORL,PHI,92.0,116.0,-24,.347,.905,.250,17,48,.484,.867,.455,23,54
2020-12-31,HOU,SAC,122.0,119.0,3,.523,.760,.361,26,45,.469,.750,.333,23,45
2020-12-31,TOR,NYK,100.0,83.0,17,.410,.714,.327,21,53,.364,.800,.083,21,48
2020-12-31,OKC,NOP,80.0,113.0,-33,.375,.333,.313,24,40,.484,.632,.361,23,58
2020-12-31,UTA,PHO,95.0,106.0,-11,.417,.684,.353,16,46,.488,.700,.515,26,41
2021-01-01,CHO,MEM,93.0,108.0,-15,.407,.667,.290,23,42,.478,.800,.359,34,48
2021-01-01,DAL,MIA,93.0,83.0,10,.410,.739,.324,18,49,.372,.720,.212,20,41
2021-01-01,DET,BOS,96.0,93.0,3,.409,.650,.324,18,48,.470,.500,.258,20,44
2021-01-01,BRK,ATL,96.0,114.0,-18,.407,.826,.189,19,45,.462,.857,.410,24,48
2021-01-01,MIL,CHI,126.0,96.0,30,.494,.667,.489,27,44,.437,.700,.231,18,42
2021-01-01,MIN,WAS,109.0,130.0,-21,.477,.571,.361,17,43,.551,.762,.485,35,43
2021-01-01,SAS,LAL,103.0,109.0,-6,.424,.692,.382,23,45,.406,.813,.424,27,58
2021-01-01,DEN,PHO,103.0,106.0,-3,.453,.813,.414,28,38,.487,.905,.371,24,37
2021-01-01,UTA,LAC,106.0,100.0,6,.461,.643,.357,28,46,.388,.875,.394,19,43
2021-01-01,GSW,POR,98.0,123.0,-25,.392,.879,.200,19,44,.435,.767,.465,23,51
