Rk,G,Date,Age,Tm,,Opp,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/28/2009,20-063,OKC,,SAC,W (+13),0,12:59,2,2,1,1,1,1,0,0,,0,2,2,0,0,0,0,3,5,3.8,-5
2,2,10/30/2009,20-065,OKC,@,DET,W (+8),0,16:38,1,6,0.167,0,1,0,0,0,,1,1,2,8,0,0,0,3,2,3.6,17
3,3,11/1/2009,20-067,OKC,,POR,L (-9),0,17:52,2,9,0.222,2,3,0.667,0,0,,1,2,3,2,1,1,1,2,6,3.1,4
4,4,11/3/2009,20-069,OKC,,LAL,L (-3),0,17:04,3,9,0.333,1,2,0.5,2,2,1,0,1,1,3,1,0,0,2,9,6.5,16
5,5,11/6/2009,20-072,OKC,@,HOU,L (-11),0,10:02,2,3,0.667,0,0,,0,0,,0,1,1,1,0,0,1,1,4,2.3,-8
6,6,11/8/2009,20-074,OKC,,ORL,W (+28),0,19:13,2,5,0.4,0,1,0,1,2,0.5,1,3,4,5,2,0,0,3,5,7.8,0
7,7,11/10/2009,20-076,OKC,@,SAC,L (-3),0,19:24,3,7,0.429,3,5,0.6,0,0,,0,4,4,1,1,1,1,3,9,6.7,1
8,8,11/11/2009,20-077,OKC,@,LAC,W (+4),0,23:54,3,8,0.375,0,3,0,1,2,0.5,0,5,5,8,1,1,2,1,7,8.6,9
9,9,11/14/2009,20-080,OKC,@,SAS,W (+3),0,19:57,3,6,0.5,0,1,0,2,3,0.667,1,1,2,1,1,1,2,4,8,4.4,-3
10,10,11/15/2009,20-081,OKC,,LAC,L (-8),0,17:38,0,8,0,0,5,0,4,4,1,1,2,3,2,1,0,2,1,4,-0.3,-9
11,11,11/17/2009,20-083,OKC,@,MIA,W (+13),0,14:16,1,3,0.333,1,3,0.333,2,2,1,0,2,2,0,0,0,2,4,5,0.3,6
12,12,11/18/2009,20-084,OKC,@,ORL,L (-14),0,30:51:00,7,14,0.5,6,7,0.857,4,4,1,0,3,3,3,1,0,1,2,24,19.2,5
