polarity,tweet
-0.2,Got my tickets for the ATLHawks game vs the Spurs on FridayCant wait to be back at StateFarmArena again Go Hawks TrueToAtlanta NBA
0.1,ATLHawks Trae Young Mix Whoopty via YouTube
0.25,HORNETS WINThe Hornets are now tied for first place in the Southeast with ATLHawksWE COMIN ATLANTAAllFly
0.1,ATLHawks Bossip PCFnews Trae Young Mix Whoopty via YouTube
0.1,ATLHawks CapelaClint BigO21 TheTraeYoung camreddish Trae Young Mix Whoopty via YouTube
0.1,ATLHawks TheTraeYoung Trae Young Mix Whoopty via YouTube
0,Well done ATLHawks
0,AtlantaRoots ATLHawks TheTraeYoung hasnt missed a shot
0,goaheadrentalc1 AtlantaHawksSN ATLHawks TheTraeYoung beal wouldnt get coachplayer votes Lavine def wouldnt
1,elleduncanESPN ATLHawks This is awesome thank you for honoring him like this ATLHawks
0.5,ATLHawks Yall better not trade John
0,suggswriter ATLHawks JacksonStateU It is amp whats so dope is a SWAC student will benefit from his internship
0,BlackCollegeExp ATLHawks JacksonStateU Big time move by the entire ATLHawks franchiseorganization
0.4,Bossip ATLHawks What an important cause
0,ATLHawks CapelaClint BigO21 TheTraeYoung camreddish headband trae
0,ATLHawks CapelaClint BigO21 TheTraeYoung camreddish You can just tell Cam got a song in his head
-0.166666667,ATLHawks black and brown Cmon man they are both colours
-0.166666667,ATLHawks black people
-0.166666667,ATLHawks SharecareInc Mvmnt4BlkLives ignitekindred Maryhooks ATLHawks black communities
0,KevinHuerter continued his shooting streak with 19pts in the ATLHawks W
-0.125,I had this premonition come to me the other night and I wasnt going to post it However you miss 100 of the sho
0.85,This is beautiful ATLHawks
0,ATLHawks TheTraeYoung It all depends on which one we get
-0.166666667,A Lil Positivity Atlanta Hawks Launch Black History Month Assist Challenge To Highlight And Raise Fund For Prost
1,ATLHawks This is awesome
0,Props to ATLHawks JacksonStateU
0.8,sammcbucketts ATLHawks I was gon say snell but I forgot hes overpaid rn lol we could make somethin shake though
0,Beezith ATLHawks For what rondo and a 2nd
0.6,Would be nice to bring him home ATLHawks
0,ATLHawks announce trio of tributes to Sekou Smith
0.8,jemelehill Hawks also The organization is not receiving the accolades but they are doing some great stuff around
0,ATLHawks TheTraeYoung Them handles do
0,ATLHawks TheTraeYoung Ice Trae handles
-0.166666667,ATLHawks adidasHoops CPSkyhawks Why would anyone who has half a clue come to a coaches clinic by the Hawks m
0.025,The ATLHawks have unveiled some permanent and significant plans to honor late former ajc writer Sekou Smith wh
0.394444444,ATLHawks emoryhealthcare I pray that the surgery will be successful and that Dre will heal completely and quickly
0.85,realgranthill33 ATLHawks Beautiful
1,Magnificent on every level ATLHawks
0.5,Love this ATLHawks
0.4,ATLHawks adidasHoops CPSkyhawks If you have a free minute please check out some of the edits that we make Feed
0.2,ATLHawks PCFnews Thank you ATLHawks And thanks to my fellow OU Sooner TheTraeYoung for leading the assist
0,ATLHawks adidasHoops CPSkyhawks Ratiod Carry on
0,ATLHawks Well done ATLHawks
0.357142857,Special Internship to SWAC Student ATLHawks BlackCollegeExp JacksonStateU NBA theswac
-0.625,Mad respect to ATLHawks
0,ATLHawks Bravo He should always be a part of the A
0,LloydPierceLP ATLHawks MarcJSpears Amen
0.65,ATLHawks So fitting of Sekou Great job Hawks
0.2,ATLHawks RachelNichols Thats real
1,Awesome Thats my team ATLHawks
0,SharecareInc ATLHawks Just merge with FCAC already
0.575,We are proud to join the atlhawks in presenting Mary Hooks as a True to the Dream Honoree
0.6,This is fantastic Great job ATLHawks
0,LegionHoops Cmon ATLHawks bring LemonpepperLou home
0,ATLHawks Maryhooks Ratio
0.5,Love this Way to go ATLHawks
0.7,Kudos to ATLHawks for honoring our beloved Sekou Respect
0.16,realgranthill33 ATLHawks Grant tell Tony Ressler from Lawrence High School that Pork Chops said hello hopef
0.5,Excellent job by the ATLHawks to honor the late great Sekou SmithVia awfulannouncing
0.2,Very honored that our ATLHawks are celebrating the legacy of Sekou Smith
0.433333333,tenitrabatiste ATLHawks The Hawks just simply get it Win or lose love how they are always making a difference
0.8,Im proud of you ATLHawks
-0.4,How about yall stop having fans at the game ATLHawks
0.5,BobRathbunTV ATLHawks StateFarmArena A meaningful welldeserved tribute Sekou will always be remembered by this Hawks fan
0,spida2k ATLHawks CapelaClint Btw Capela makes 18 million a year Gobert 40 million a year
0.35,Wow this is beyond amazing Thank you to the ATLHawks
0,Well done ATLHawks
0.5,KevinKeneely1 ATLHawks Ya love to see it
0,spida2k ATLHawks CapelaClint Gobert 13 pts 13 rebsCapela 13 pts 14 rebs
0.15,Hey ATLHawks this had over 100000 impressions people are starting to realize John Collins worth PayTheMan
0,spida2k ATLHawks CapelaClint Oh yeah just leads the league in rebounding and is 3rd in blockswhile shooting 55 from the field
0.8,ATLHawks Well deserved Great tribute for a great man
-1,ATLHawks johnrobinson545 CapelaClint Clint is awful
0.5,ATLHawks swebbanthony DWilkins21 NBA One of my all time favorite Hawks
-0.022222222,At 108 assists our friends at ATLHawks have garnered a total of 27000 so far during our Black History Month Ass
0,Hawks are naming their media workroom after Sekou Smith Theyve also created the Sekou Smith Award and will lau
0,Bring Lou back home again ATLHawks TrueToAtlanta
0,DrDongChan sixers Bucks BrooklynNets celtics Pacers ATLHawks hornets nyknicks Raptors cavs chicagobulls
0.2,ATLHawks Very dope
-0.025,Kevin Huerter Full Game Highlights Vs RaptorsKevinHuerter ATLHawks
0.138392857,Major respect to the ATLHawks and their tribute to Sekou Smith Pure class
0,Hawks Star Cam Reddish Joins ATLHawks Foundation And StateFarm to Expand Snack Pack Program
0.425,Miss love to the ATLHawks for this move True To Atlanta
0.25,Cheers to ATLHawks honoring late great Sekou SmithThe StateFarmArena media workroom is now Sekou Smith Press
0,ATLHawks Announce Tributes to Sports Reporter Sekou Smith
0,ATLHawks Announce Tributes to Sports Reporter Sekou Smith
1,This is so awesome Well done by ATLHawks
0,Class move ATLHawks continue to set the gold standard in the community
0.13,JeffZillgitt Very classy by ATLHawks
0,ATLHawks swebbanthony DWilkins21 NBA I Remember it like it was yesterday
0,This is awfully gracious and a fitting tribute to guy who meant so much to so many in that room and beyond Thank y
0.4,MarkJBoyle ATLHawks Great gesture for a terrific guy
0.8,ATLHawks This is great news
0,Well done ATLHawks and HawksPRRIPSekou
1,ATLHawks This is awesome
0,ATLHawks Well done Hawks
0.8,Great moves ATLHawks
0.9,This is wonderful Great move ATLHawks
0.2,The ATLHawks have announced a whole series of initiatives designed to honor Sekou Smith from renaming the media w
-0.3,The ATLHawks have announced three tributes to the late Sekou Smith naming of the media room StateFarmArena a me
1,This is awesome stuff by the ATLHawks Thank you for carrying on Sekous name in this way
