polarity,tweet
-0.7,This seemed to start the sequence of bad events that occurred throughout 2020 What a honor to report on the pas
-0.15,AndrewRiffe1 celtics nah brad stevens said mid to late feb in a presser and whenever hes asked about it he says nothings changed
0.468181818,Axrm830 celtics PutnamToday jaytatum0 FCHWPO KembaWalker semi LOL my family from New York despises Boston te
-0.3,fastppfanclub11 celtics For some reason I thought they said late Jan during the beginning of the season
0.291666667,celtics PutnamToday jaytatum0 FCHWPO KembaWalker semi I see Jaylen Brown supporting a BeyondMeat hat Super
0,bobbyjonathon celtics Same homie we need to get our team rollin again
-0.155555556,ConverseChuck 70 Breaking Down Barriers X celticsSize 42 43 44 45979 exclude shipping
-0.3125,dccarrillo celtics PutnamToday jaytatum0 FCHWPO KembaWalker semi I mean we could but the pistons wont trade him
0.125,Dear celtics I think its ok to put something other than BOSTON or CELTICS across the jersey Its essentially be
0.5,RealBillRussell NBA BostonGlobe celtics espn BleacherReport Glad youre doing well Mr Russell
0,celtics What about Jonas Valaciunas from Memphis for a trade Dudes ave 15pts 10Reb Tonight only in 3rd quarter 18pts 16Reb
0,fritzglc celtics Tatum passed to Pritchard and he made threes that worked
0.736666667,celtics Kemba was 4 for 20 Not going to win many games with those numbers Pritchard is looking very good on offe
0,celtics PutnamToday jaytatum0 FCHWPO KembaWalker semi If yall lose Im shooting up a school
0,prophiphop lets go celtics
0,All I want is the celtics to follow me
0.183333333,leonsmith61722 NotRam brandonlirio22 celtics Isnt he fully healthy coming off missing the first month
0.211111111,KG remains one of my favorite players of all time So lucky to have seen him in celtics green
0.4,Huge celtics fan here but the hornets with ExCeltics gordonhayward and TRozzay3 Are sure fun to watch
1,I hope the celtics are up to the challenge when they meet the Hornets and Lamelo I expect FCHWPO to guard him real good
0.1,MVPJaylenBrown celtics Early April
0,celtics PutnamToday jaytatum0 FCHWPO KembaWalker semi Please GO GET Jerami Grant plzzzzzzzzzzzzzzzzzzzzzzz
0.279761905,I like when celtics fans will say we need more bugs like that is our main problem right now kir main problem is t
0,celtics FCHWPO Hire me on your media team
