polarity,tweet
0,wyshynski TBLightning Buccaneers BrooklynNets Someone call MikeFrancesa
0,wyshynski TBLHockey TBLightning Buccaneers BrooklynNets Lightning affiliate Syracuse Crunch have a Goaltender Tyler Johnson
0.05,theblumandonly wyshynski TBLightning Buccaneers BrooklynNets ok consider me confused Huhhh
0.8,Please win tomorrow brooklynnets
0.138888889,DarionHill11 BrooklynNets The last thing we need is a another guard especially a super small one
0,aurovisuals ClippersNets BrooklynNets Tampering Show me evidence that there was tampering Or atleast know wh
0,Vigimansingh ClippersNets BrooklynNets But bron can tamper and get AD
0,Iman Shumpert Had the Drive to Return to Brooklyn Nets BrooklynNets
0.033333333,xiiRJ ChiefsFan28 BrooklynNets imanshumpert Congrats on winning a regular season game
0,BrooklynNets imanshumpert Pls release Johnson or just dont play him i beg he is so trash
0.475,vPlayoffP BrooklynNets imanshumpert Norvelle played vs the Sixers and he was pretty good he needs to learn how t
0,VIBEZTOLP1 BrooklynNets be my valentine
0,wyshynski TBLightning Buccaneers BrooklynNets Needs to happen
0.35,BrooklynNets LongIslandNets 4kJeremiah Perry gt full time Martin gt twoway
0,BrooklynNets LongIslandNets 4kJeremiah Call him
-0.166666667,Have the Raptors been studying BrooklynNets defensive strategies There are less uncontested 3s in a StephenCurry30 warmup session
0.1,thad young is everywhere on defense BrooklynNets
0.3,Nets vs Pistons Landry Shamet Coming Off Best Game with Brooklyn BrooklynNets
0,BrooklynNets u guys can put anyone inside the team but the only thing u cant touch harden durant and irving
0,VIBEZTOLP1 BrooklynNets guess were an item now Send tickets for floor seats
0.7,BrooklynNets Good pickup
0.136363636,The Brooklyn Family welcomes you your new BUGATTI BrooklynNets BrooklynTogether
0,Nash will never be head coach material firenash brooklynnets BrooklynNets SteveNash
0,BrooklynNets I thought this was an alley attempt from the foul line fraud
0.2,BrooklynNets I am asking you once again can we please get more Kyrie for allstar propaganda
0,BrooklynNets claxton33 Sounds like hes not close tho
0.2,writerallisonc GoHillies BrooklynNets Ayyyy always knew hed do big things This is fantastic
0.16,in high school we couldnt beat Noah on the court nor in 2K Congrats to the BrooklynNets
0.284848485,Joe Harris putting up strong numbers with new BrooklynNets lineup
0,BrooklynNets claxton33 Are they even gonna play him They already have DJ pelle and Noah Vonleh idk how do spell his last name
0,BrooklynNets trade for Hassan whiteside
0,wyshynski TBLightning Buccaneers BrooklynNets Somebody needs to make this happen
-0.155555556,BrooklynNets LongIslandNets 4kJeremiah Call him up and send Chiozza down
0.7,TheNBAPastor Case7i BrooklynNets idk know why but soome reason there picking up andre roberson a good defender t
-0.1,10ToesDown10 ClippersNets BrooklynNets Holy shit ur rightCoz those guys are the same as 2 all Stars one of w
0,KnicksSnob BrooklynNets nyknicks Wait til we trade them elf
0,ExKnicks signings are further evidence that BrooklynNets will always be followers second fiddle wannabes Lil
0,Vigimansingh ClippersNets BrooklynNets be4 u talk out yo ass bron told his gms to get AD Marc Montrez Dennis
0.285714286,BrooklynNets imanshumpert Signing this Klutch agent wasnt the right move
-0.166666667,BrooklynNets LESSS GOOO WE SIGNED SUM1 TO KEEP ON THE BENCH FOR HALF THE SZN
0,TheNBAPastor Case7i BrooklynNets Loool this nigga said 2k
0,BrooklynNets Noah vonleh bout to get 3 minutes a night
-0.1,i aint gon lieyall couldve went a lot harder with the basquiat jerseys BrooklynNets
0,28 POTDPD Bulls 2CT G Hayward O215 ptsDK Rockets 2As LE continues to channel his inner
0,SNYtv Derek Jeter Chris Mullin at StJohnsBBall Drazen Petrovic with BrooklynNets
0,BrooklynNets LongIslandNets 4kJeremiah So is Sean mark singing him
-0.15,NBA2K wtf really Yall took KDTrey5 off of the BrooklynNets rooster I just tried to get a versus in and hes
0,Brooklyn Nets Spurs flex BrooklynNets SpursOfficial BrooklynNets Brooklyn Nets TottenhamHotspur Spurs
0.5,BrooklynNets How much more player do Sean mark need too sign so he can trade tlc and dj
-0.5,vPlayoffP BrooklynNets imanshumpert Whats wrong with it
0.5,12Bootywarrior BrooklynNets imanshumpert My day would have gone so much better if I didnt encounter your pfp
0,vPlayoffP BrooklynNets imanshumpert Norvellw played he doesnt let them play until they practice
0,ChiefsFan28 BrooklynNets imanshumpert Try again
0.15,ChiefsFan28 BrooklynNets imanshumpert lol we owned the sorry warriors for our season opener
0,padelman10 BrooklynNets claxton33 He gotta add like 20 pounds too and it will be even more scary
0,wyshynski TBLightning Buccaneers BrooklynNets Shout out North Side
0,e11isBK BrooklynNets KD is bigger than Kpop
0,wyshynski TBLightning Buccaneers BrooklynNets Check out eliteprospects elite prospects dot com they have 3
0.416666667,Ayo BrooklynNets send a KPop group free jerseys if you want easy allstar votes like this
0,wyshynski TBLightning Buccaneers BrooklynNets The bigger question is if someone would ask Tyler Johnson
0.25,EmberCLE The BrooklynNets looking for Andre Drummond more likely
0,BrooklynNets imanshumpert Please actually play him
0,johnjf125 wyshynski TBLightning Buccaneers BrooklynNets every time I bring him up everyone at work looks at me like I have seven heads
0,ABtheCEO TheRealWHG ZeFocus BrooklynNets The only benefit shump can do to help the Nets is pass out bottles of
0.1,BrooklynNets imanshumpert Curry owns the soft nets
0.5,liketheroyals wyshynski TBLightning Buccaneers BrooklynNets Your Maddog is better than your Mikey Mikey Tahroder
-0.1,Sufian10S BrooklynNets imanshumpert Not a real sport
0,Sufian10S BrooklynNets imanshumpert Ratio
0,Sufian10S BrooklynNets imanshumpert Get your soccer ass out of here
0.5,BrooklynNets imanshumpert Respect to all champions that put in the mega hours of training to stay in top shape
0,BrooklynNets imanshumpert Nash out here letting players think they gone play
-0.1,Sufian10S BrooklynNets imanshumpert Not a real sport
0,Sufian10S BrooklynNets imanshumpert Ratio
0,BrooklynNets imanshumpert ShumpGoat
0,wyshynski TBLightning Buccaneers BrooklynNets Tyler Johnson and Tyler Johnson both were playing in Syracuse at the same time
0,wyshynski TBLightning Buccaneers BrooklynNets needs to be done while doing the double spiderman meme pose well
0.7,wyshynski TBLightning Buccaneers BrooklynNets Might be wise to place a wager on a Nets championship this year
0,wyshynski TBLightning Buccaneers BrooklynNets The Tylers Johnson
0,wyshynski TBLightning Buccaneers BrooklynNets How could you forget the Tyler Johnson of the MLB
