polarity,tweet
-0.016666667,DetroitPistons Ballislife Dennis1SmithJr Weak team for a weak player everything is good now
-0.6,Dennis1SmithJr DetroitPistons Go crazy over there OnceAKnick
0,Dennis1SmithJr DetroitPistons Stoked to have you on board go for it
0.033333333,DosWong DetroitPistons Dennis1SmithJr better pray blake finds his way back to averaging 2081 dunk per game Th
0.25,UnderAAMER ICANCLOTHES Dennis1SmithJr DetroitPistons yo if i looked like this id be pretty pissed too
0,Dennis1SmithJr DetroitPistons I feel like fans are saying we dont want you
-0.05,Dennis1SmithJr DetroitPistons Good luck fellow Wolfpack I hate it didnt work out in NY but God speed to you o
0.7,Dennis1SmithJr DetroitPistons Best of luck to you fam Im sure now you can take the time need to grow af your own pace
0.1,Dennis1SmithJr DetroitPistons Good luck in Motown and for the rest of your career Sorry it didnt work out with
0,Dennis1SmithJr DetroitPistons Could not be happier for you I hope you finally get the chance to shine we all kn
-0.6,Dennis1SmithJr DetroitPistons Go crazy
0,Dennis1SmithJr DetroitPistons Cant wait to have you here
0,dukezillla Dennis1SmithJr DetroitPistons You see anybody else rush to sign him after he was cut
0,my Team Is getting the 1 Pick Thats just a Fact Go DetroitPistons
0.2,Dennis1SmithJr DetroitPistons Glad to see you get out of jail Now go ball out
0,UnderAAMER Dennis1SmithJr DetroitPistons Whats the girl in your profile pics
0.8,Dennis1SmithJr DetroitPistons Welcome 2 Detroit
0.6,UnderAAMER ICANCLOTHES Dennis1SmithJr DetroitPistons Lmao my guy
0.8,Dennis1SmithJr DetroitPistons Welcome bro
0,Maybe Dennis Smith Jr still just 23 puts it all together with the DetroitPistons
0,FleetwoodMcC JoeySweetZ Dennis1SmithJr DetroitPistons just ignore any knicks fan opinions theyre the same on
-1,uzairahmed8 NijThaGreat knickswintrack Dennis1SmithJr DetroitPistons Because of horrible coaching and a toxic fanbase
0,UnderAAMER GTroitPistons Dennis1SmithJr DetroitPistons who wouldnt
0.15,Dennis1SmithJr DetroitPistons I wish you success in your future I wish it could have been with the Knicks but I
0.666666667,DetroitPistons drose Great Favorite player gone Good luck We will miss you and a loss for Detroit
0.8,Dennis1SmithJr DetroitPistons Welcome to Detriot God bless you I know that you will be great for this team
0.225,Dennis1SmithJr DetroitPistons Tim top wen that long va lau dai
-0.7,LoganMoyano sbhatia01 DetroitPistons drose I hope we get another IT amp bad boys before that happens again
0.333333333,Dennis1SmithJr DetroitPistons Better go get it bro or u better get ur passport up to date cause I see Europe or China in ur future
0,stabatme prazuchjames mdc9767 JackRaclaw DetroitPistons its called competitive tanking
0,DubzNoLz Dennis1SmithJr DetroitPistons Lmaaaao for
0,DetroitPistons draft her
0.5875,Dennis1SmithJr DetroitPistons Excited to see you thrive DSJ Welcome to Detroit
0,DetroitPistons What is DSJ picking
0.7,Dennis1SmithJr TheKnicksWall DetroitPistons Gonna miss u man wish u got a fair chance this season hope u turn up
0.25,UnderAAMER ICANCLOTHES Dennis1SmithJr DetroitPistons i guess you just love being a big ol bitch huh
0,FanDuel Darko The DetroitPistons
0.05,Dennis1SmithJr DetroitPistons You better go the fuck to work my money on you
0.136363636,Dennis1SmithJr DetroitPistons My guy new beginnings
-0.65,UnderAAMER Dennis1SmithJr DetroitPistons Nobody gives a fuck about the opinion of a retard cowboys fan
0,drose Thank you for all that you have done for the DetroitPistons you are a TrueMan TrueLeader inside the locke
0.099603175,Dennis1SmithJr DetroitPistons Welcome to the REAL Big D Play hard play smart youll get mad love
0.8,ProPistons DetroitPistons stance I had already started to dial 911 lol
0.2,MazeManMatt DetroitPistons Dennis1SmithJr Its not our fault nobody wants his pitiful contract
-0.6,BarrettKing89 rjoh34 DetroitPistons Dennis1SmithJr Because of your trash coaching and toxic fans What fucking
0.7,Dennis1SmithJr tbrandsports101 DetroitPistons Good luck Never forget oakaak
0,Dennis1SmithJr DetroitPistons Hope it works out for you in Detroit You never got a chance in NYC Im a Knicks f
-0.7,Dennis1SmithJr DetroitPistons No a pistons fan but I remember seeing you in Dallas and was shocked to hear that y
0,Dennis1SmithJr DetroitPistons We still rooting for you here in Dallas Go get it
-0.4,GOff5 DetroitPistons drose Me too never had a chance to see a game with him
0,Dennis1SmithJr DetroitPistons Dennis When can we expect a comment on the rampant payforplay cheating within th
0.7,Dennis1SmithJr DetroitPistons Good luck over there man
0,Dennis1SmithJr DetroitPistons jaeraedell future MVP
-0.5,orcaloverr9 DetroitPistons drose Im sad
-0.3,DetroitPistons Dennis1SmithJr DraftKings Honestly not me Im not knocking Dennis here but DRose didnt even
0.179166667,Dennis1SmithJr DetroitPistons Welcome to Detroit Play hard and all will be well We love hard work here
0.633333333,Dennis1SmithJr DetroitPistons Huge mate Make the most of it and turn the story around All the best
0,UnderAAMER Dennis1SmithJr DetroitPistons Dont disrespect future goat
0.2,DetroitPistons drose Thanks drose
0.566666667,Dennis1SmithJr DetroitPistons Good luck Bro Wish only the best From a Knicks fan
0.216666667,Dennis1SmithJr DetroitPistons Good luck Dennis from a long time Knicks fan i hope u get you confidence back once a knick always a knick
0,Dennis1SmithJr DetroitPistons Hopefully they play you
0.8,Dennis1SmithJr DetroitPistons proud of you
0,Dennis1SmithJr DetroitPistons MVP in 2 years
0,DetroitPistons Dennis1SmithJr Sorry man you deserve better
0,MichaelAaron DetroitPistons stance Bruh that wouldve been hospital level of ashy They wouldve bumped me ahe
0.5,Dennis1SmithJr DetroitPistons Welcome to Detroit Now get ready to go to work If you do you will love it here
0.445454545,Dennis1SmithJr DetroitPistons Good luck man glad you are getting a new opportunity I think you will shine
0,Dennis1SmithJr DetroitPistons Bring Jcole with you
1,Dennis1SmithJr DetroitPistons Wishing you the best of luck
-0.375,Really disappointed to see DetroitPistons not following me anymore
