polarity,tweet
0,HoustonRockets That 4th quarter was embarrassing
-1,HoustonRockets Pathetic
0.2,Do u like pain Do u take pleasure in witnessin recurrin hope only to realize its fools gold Do u enjoy watchin a
0,HoustonRockets trade pj already
0,HoustonRockets We blew it with that 4th quarter starting lineup it was like headless chickens nobody knew how to run the offense
-0.55,HoustonRockets P J Tucker with his usual game 23 minutes0 points0 rebounds2 assistsDude is horrible
-0.4,HoustonRockets 7 points in one quarter There is something wrong with the team from player to coach It is bad enough
-0.3,sam80797021 HoustonRockets least we kept it close
0.2,No Wall Wood or Gordon tonight vs CharlotteBenMcLemore was ready when his name was called15 POINTS in 19 MINU
-0.535714286,HoustonRockets single digit 4th Quarter Yall terrible
-0.366666667,HoustonRockets id be embarrassed to call yourself a pro basketball team 7 points in the 4th quarter of a game utterly ridiculous
0,Kori93723093 HoustonRockets Our veteran power forward got out rebounded by a rooky point guard
0,PorscheFan4life zaihhy 25MJK HoustonRockets Imagine being this braindead
0,AmirWxvy RocketsPlsWin HoustonRockets take them for Herro thx
0,mushinabdul HoustonRockets I agree I wasnt a fan of Silas trying to turn Oladipo and Gordon into players they
-0.6,HoustonRockets Whats the fucking plan To tank or make the playoffs Stop with the resting players BS
0,Rocketsgurllll HoustonRockets We played well for 3 quarters we were way undermanned The Hornets commentators
0,Sterling Brown to DanuelHouseJr Brown 8 PTS 7 REB 5 ASTHouse 13 PTS 3 REB 2 ASTHoustonRockets I
0.333333333,psmithtse otate HoustonRockets Love watching him play Dont catch many NBA games but definitely look for the
0,JaeSean Tate with the block on Lamelo Ball otate TONIGHT 13 PTS57 FG4 REBHoustonRockets I Rockets
0,Hey HoustonRockets I need a JaeSean Tate baby blue scrub cap Can you help me out
0,HoustonRockets chicagobulls gift for you
-0.5,paulzermeno10 HoustonRockets kroger Sorry it was sarcasm He didnt do anything with his minutes tonight 0 pts 0 rebounds
-0.6,HoustonRockets Yo harden did yall dirty
0,What in all existence and Hakeems dreams was that fourth quarter HoustonRockets
0,VicOladipo with the DUNK NBAAllStar Oladipo TONIGHT vs Charlotte21 PTS7 REB6 ASTHoustonRockets I Rockets
0,JaMorant get your teams head out its a Mfer you guys have 3 points in the 4th quarter Between you and the
0,HouseofPain1776 HoustonRockets Okc will just use their lottery pick to draft a future mvp that will be later traded to Houston
-0.3,HouseofPain1776 HoustonRockets I thought it was a MDA weird stuff at playing midgets at power forwards and center
0.075,chargerss979 HoustonRockets Rockets are already too good to tank Only few few teams can tank and have hope of s
0.2,The HoustonRockets lookin real houston rockets chokecity
0,HoustonRockets That looks like Eric Gordon
0.05,TheSpor54302659 HoustonRockets Oladipo has never been a floor general EG too They are all 2 and not 1 Oladipo
