polarity,tweet
0,NBA The Raptors had a big showing from FredVanVleet pskills43 and npowell2404 as the three combined for 93p
0,memgrizz vs Raptors FTA Before ejection 2511 for the GrizzFTA After ejection 154 for the Raps Nick called
-0.133333333,raptors without Klow7 who left game with back spasms and Coach Nurse who was tossed still gut one out with a furi
0,dillonbrooks24 MississaugaON had 22 pts5 rebs2 asts1 stl2 blks in 37 mins in memgrizzs 128113 loss to To
-0.6,sullyktg1 yassinshaheen memgrizz FedExForum Dang crazy
0.2,SJDoerr CraigSMorgan memgrizz ArizonaCoyotes Great hearing what Fred Van Vleet and Pascal Siakam were doing while watching a hockey game
0,Pain Again memgrizz
-1,INSANE THREEPOINTER BY JA GrindCity NBAvia memgrizz
0,DBane0625 speaking to the media after the Grizzlies loss to the Raptorsmemgrizz GrindCity
0,How Raptors beat memgrizz Monday Feb 8th 2021 NBA NBAstats gamecharts dataviz
0,memgrizz FedExForum lets tank
0.2,Im beginning to wonder if JJJ amp Winslow really want to play with memgrizz
0.25,memgrizz FedExForum Please tell ja morant more axtivedont pass ball then go to the low do nothing1153 AM
0.25,GrizzliesOnFSSE memgrizz Please tell ja morant more axtivedont pass ball then go to the low do nothing1153 AM
0,Head Coach Taylor Jenkins addressing the media after the Grizzlies loss to the Raptorsmemgrizz GrindCity
-0.2,zemonix memgrizz FedExForum Cmon bruh these guys american you think they know what the fuck a kg is
0.2,KenNewhouse1 memgrizz FedExForum The refs tossed nurse and then the raptors really got fired up because of that
0.45,rayfordyoung hornets memgrizz The Charlotte dude sound like a fan rooting for his favorite team You forget hes working
0,florencj1 yassinshaheen memgrizz FedExForum The only person that has an impact on that list is jaren Jackson
0,florencj1 yassinshaheen memgrizz FedExForum literally 2 casuals out rest are nobodys
-0.5,The Raptors defeat memgrizz Just an absurd run after Nick Nurse got ejected Toronto had a fire under its ass
0,NBA FINALRaptors 128memgrizz 113NBATwitter NBATwitterLive
0.183333333,GrizzliesPR JValanciunas memgrizz Stathead Biggest flops ever in the 2nd half Almost like JV wanted his old team too win
-0.457142857,memgrizz sick of yall shit
0.102222222,Being a memgrizz fan was more fun when they were winning But alas we rock with them even when times are tough O
0.133333333,JValanciunas Great game tonight Fond memories of you with the Raptors Some inspired regular seasons and playoff
0,memgrizz i fw yall but it had to be done
0,LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
-0.025,memgrizz FedExForum Coach went too long with the bench vs Raptor starters 10499 He should have got starters back in
0,GAME 24 WIN 11Raptors of the GAME Pascal Siakam RaptorsBE RaptorsFR MikyYG RaptorsBrazil
-1,If memgrizz want to improve must find a way to limit shots for Brooks Hes terribly inefficient TS486 3pt 2
0.25,memgrizz FedExForum Grizzlies fans after seeing their team miss open shots turn the ball over after winning a ch
0,zaaaaaacck memgrizz The pain
0.475,yassinshaheen memgrizz FedExForum 3 of the grizzlies best players are out excuse me
-0.7,rachsuyat memgrizz Were so bad
0.7,OleBrotherNoah memgrizz FedExForum Its time for me to say itJa is so one dimensional scoring wise no outsi
0.3,You win that game east with Jaren Winslow would help too Its comical that the memgrizz refuse to update their s
0.266666667,memgrizz FedExForum This team is now broken Gotta get to the roots of the issue Might be time to make some brave deals in free agency
0.1,memgrizz FedExForum Trash team Completely gave up in the 4th How do you go 193 in the 4th before attempting to
0,DPOYWatt memgrizz FedExForum Baynes doesnt move so he should be a still trash can
0,memgrizz FedExForum follow back
0.2,JaMorant JValanciunas memgrizz What the is the matter with our Grizzlies From a 7 game win streak to 4 con
0.625,yassinshaheen memgrizz FedExForum Youre aware that two of the grizzlies best players are also out correct
0.25,yassinshaheen memgrizz FedExForum were missing so much good players How r u talking ab ppl being out gg tho
-0.6,yassinshaheen memgrizz FedExForum Dang crazy
-0.107142857,MattJoiner0829 memgrizz FedExForum He needs to be fired Plain and simple
0.066666667,memgrizz FedExForum would be nice if we could finish a damn game this team has to learn how to be 500 or above
0,memgrizz FedExForum Can we please have a talk about Jenkins now that hes blown back to back double digit leads b
0.266666667,memgrizz FedExForum Its okay Good game
0.5,memgrizz FedExForum Love yall but Toronto my team lmaoo
0,Isnt that the memgrizz slogan
0.104166667,memgrizz FedExForum Damn Its so hard to love you
0.1,memgrizz FedExForum Good game Yall are still my second favourite team
0.25,memgrizz FedExForum Im never watching or supporting yall again unless yall fire Jenkins This franchise front office is a joke
0,memgrizz FedExForum Pain
0,memgrizz FedExForum Pain
0.2,memgrizz FedExForum Can yall finish a game Theres no reason to win 7 in a row then lose 4 straight None whatsoever
0,yassinshaheen memgrizz FedExForum Their
0,memgrizz FedExForum Tank pls
0,memgrizz FedExForum Pain
0.1,memgrizz FedExForum Its okay Grizzlies fans we all have 1 thing in common We should both be playing in Canada
0,memgrizz FedExForum Pain
1,memgrizz FedExForum IMAGINE LOSING TO A TEAM WITHOUT THERE 2 BEST PLAYERS AND THERE HEAD COACH
0.6,Good scrappy W Still got love for the memgrizz and of course forever love to JValanciunas you looked good out thereWeTheNorth
0,memgrizz Rigged
-0.071428571,FanDuel I have you all beat memgrizz taking HasheemTheDream over StephenCurry30 JamesHarden and every single o
0,memgrizz 7 points the rest of the way Throw this team out of the league
-0.083333333,Second half FT checkmemgrizz 7Raptors 12NBA refs you got called out by Nick and you are embarrassed enoug
0,If the memgrizz locker room isnt pissed from the effort tonight then ion know what to say
-0.15,memgrizz yall need to start pulling from MemphisHustle bench and put them on Clearly our guys are tired and ca
-0.283333333,memgrizz Easily the worst team Ive ever seen in the nba
0,NBA Final Score TOR 1113 defeats MEM 910 away 128113 Score diff by qrtr 1 7 3 15 memgrizz Raptors
0.3,Theres one thing abundantly clear about this memgrizz team Theyve got to get healthy Theyre running out of
0,LeoRautins PaulJones MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0.15,Good game memgrizz
0.8,Great turnaround win for Raptors against memgrizz tonight wethenorth
0.1,memgrizz Is Ja Morant really about to be the next OJ Mayo
0.05,memgrizz FIRE JENKINS or I will not watch another game I can do better than this bum
0,JValanciunas memgrizz Sveiki Ponas ValaninasYou have the to the City of Toronto and we all appreciate ev
0,Raptors low key always have to put a whoopin on the memgrizz until they come back to CityofVancouver I wont hav
0,rayfordyoung hornets memgrizz I am here for this shade
-1,Awful memgrizz
-1,memgrizz Worst 4th quarter in the league
0,MeghanTriplett GrizzliesPR memgrizz So didnt matter
0.4,RodBlackTSN Raptors memgrizz Great come back for them
0,whoopityscooop memgrizz AND HOLD Doge HOLD
-0.4,Turning the game OFF memgrizz just blew this game TORvsMEM
1,memgrizz Morant has zero asts and not taken 1 shot in the 4th Qwhy Hes the best playershow it
0.4,Grizzlies blowing a huge lead and screwing my parlay thx memgrizz
0,Cant believe the memgrizz choked tonight 14 pts in the 4th yikes
-0.4,memgrizz But were gonna lose the game
-0.35,ESPNNBA can you at least let the memgrizz fans listen to the game with a subscription instead of also charging th
-0.116666667,GrizzliesPR JValanciunas memgrizz Stathead And then we shy away from him too much in the second half
0,Please comeback memgrizz
0,memgrizz Fam 2611 in the 4th
0,CoachBrianDav officialEli memgrizz RespectOkBlocked
0,memgrizz What happened to 4th qtr Ja
-0.5,memgrizz fire that fucking coach useless fuck
0,rachsuyat memgrizz We will
0,memgrizz Another fourth quarter where the team doesnt try
-0.05,DAREALEST1 officialEli memgrizz You better put some respect on my team We arent afraid of anyone
-0.1,nba Why does the referee have to yell to be heard in a mostly empty arena Raptors memgrizz TORvsMEM
0.15,CoachBrianDav officialEli memgrizz I normally dont block people but you close to it talking about my grizzlies like that
0,LeoRautins teddylema PaulJones MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors
0,memgrizz Heres one
0.5,memgrizz Better not choke this And add the emojis too
0,teddylema PaulJones MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0.65,memgrizz We better win ong
0,memgrizz Yesssir
0.8,And the memgrizz win the challenge
0,memgrizz BUY dogecoin NOW
0,memgrizz Gotta use the gifs
0,memgrizz they tryna rig it smh
0,memgrizz ratio
0,memgrizz Wheres the emoji
0.5,DAREALEST1 officialEli memgrizz Id love to see the Grizzlies try to beat us theyd need Tom Bradys refs to stand a chance
0,memgrizz No its not
0.0375,Great run by Raptors Not sure why memgrizz left JV out of the game for 6 minutes Raps went on a 205 run and loo
0,CoachBrianDav officialEli memgrizz Middle school championshipltmaking the playoffs in the NBA
0,PaulJones LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,RodBlackTSN LeoRautins teddylema MattDevlin KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,LeoRautins PaulJones teddylema MattDevlin KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,EastCoastMike1 LeoRautins RodBlackTSN MattDevlin KateBeirness KayNurse11 TSNSports Raptors memgrizz
0.8,Cant kiss so hug yourself cam lol memgrizz what the hell is going on here
0,memgrizz yall are TRASH 285 run
0,ShansBoomstick We got like 3min of the Raptors vs memgrizz audio durring the ArizonaCoyotes broadcast
-0.05,This team has a lot of maturing to do Pieces are there but theyve got to grow up Messed around way too long ins
0,PaulJones teddylema MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,RodBlackTSN Jeff12324 LeoRautins teddylema VickyCraig99 MattDevlin KateBeirness KayNurse11 TSNSports
0,memgrizz Siakam is the captain now
-0.15625,memgrizz JValanciunas Its not gonna mean anything since they choked and dont play in the fourth
-0.8,memgrizz sub Desmond on you morons
-0.4,I want to see Brandon Clarke brandonclarke23 from memgrizz play in the NBA AllStar Game NBAAllStar BrandonClarke
0,What an embarrassing collapse by the memgrizz
-0.4,I want to see Ja Morant JaMorant from memgrizz play in the 2021 NBA AllStar Game NBAAllStar JaMorant
0,LeoRautins RodBlackTSN MattDevlin KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0,LeoRautins teddylema MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
-0.714285714,Im so sick of these damn memgrizz literally throwing games away
-0.125,Not sure what happened towards the end of 3rd period memgrizz
0,Someone show this to the memgrizz
0,CraigSMorgan The crossover we didnt know we needed memgrizz x ArizonaCoyotes
0.7,memgrizz Dear my good friend memgrizz follow me
0,LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0.4,DJ Mic Tee is crushing it tonight memgrizz
0.7,MaddenGod42069 memgrizz kelwright Good
0.8,memgrizz This team will win with the help of refs shame on their rooster players and coaches
0,memgrizz GrizzliesOnFSSE ratio
0,Hey memgrizz WAKE UP
0,memgrizz JValanciunas So underrated
0.35,memgrizz GrizzliesOnFSSE Thats the second tweet tonight where the score has been backwards U good
0,perSONICk memgrizz I will never ever take it for granted again
0,baysidemuffin8 memgrizz kelwright Im currently weeping
-0.083333333,beenjammin123 memgrizz i wont disagree about this year but over the last half decade the raptors have consistentl
0.8,I dont think Ive ever been so happy to hear Guns n Roses Thank you for that moment of normalcy memgrizz
0,teddylema PaulJones MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,memgrizz GrizzliesOnFSSE were up by 3
0.25,Tornhockeyfan memgrizz But seeing no superstars on the Raptors roster Im sure yall are in a similar boat not getting foul calls
-0.266666667,Tornhockeyfan memgrizz Grizzlies are 1st in points in the paint per game and last in FT attempts per game I don
0,PaulJones LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
-0.2,beenjammin123 memgrizz the raptors have been facing it but worse for their entire existence
0,Bush league callonly reason that got a Flagrant 1 is because his name is Grayson Allen memgrizz
0,LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0,Finally an NBA date night to see memgrizz play
0.15,memgrizz playing good ball Weve got a hell of a game on our hands
0,Nick Nurse got tossed for complaining about the same FT discrepancy memgrizz face on a nightly basis
0.477777778,memgrizz JValanciunas grizzlies may i pleasantly be treated with a follow back my good sir
0.45,memgrizz JaMorant ay ay we back at itsay his name with meJAAAAAA MORRAAAAAAANNTTTTTTthe legend the incredible man the hero
0,memgrizz JValanciunas Lets go the highlights are working
0,MaddenGod42069 memgrizz kelwright Back to back rushing titles Go cry about it
0.455,CoachBrianDav officialEli memgrizz Congratulations Very good luck hunting for the third championship
0,teddylema MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0,So are the memgrizz
0,LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0.8,memgrizz JaMorant Fly like a plane
0,frauddulent memgrizz JaMorant Maybe
0.166666667,memgrizz Less DB more every one else can you put that in emojis
0.061111111,Tonight marked the first time memgrizz scored 70 points in a half since Dec 16 2019 vs Miami
0.5,Not a memgrizz fan but their commentators are top not Grizzlies
0,officialEli memgrizz 2 currently in the process of going for a third
-0.155555556,memgrizz JaMorant Ja Morant 12 bows in the air called him and dunked it down
0.5,CoachBrianDav memgrizz How many championships do the bears have coach
0,memgrizz JaMorant Not emojis
0,memgrizz JaMorant Ja gt lebron its not close
0.233333333,No1LebronFan memgrizz Im shaking rn My 1 year old son just said his first words He said Daddy is it true LeF
0.8,memgrizz Heres a highlight win a championship for once
0.6,No1LebronFan memgrizz no one cares go like your own comment somewhere else
0,memgrizz Follow back guys
0,memgrizz didnt ask you not making the playoffs
0,memgrizz No one cares poverty franchise
0.5,memgrizz Ok dont care
0.5,memgrizz Ok thank you
-0.4,GrizzliesPR JValanciunas memgrizz Stathead What is the franchise record for rebounds in a game Cant find it online anywhere
0,ELECTRIC EVERY NIGHT JaMorant memgrizz
0,baysidemuffin8 memgrizz kelwright I cant wait to watch Derrick Henrys historic fall off
-0.016666667,memgrizz JaMorant nbapaint Cant of missed like 12 games this early average under 20 with only 7assists and be
0.5,MaddenGod42069 memgrizz kelwright Titans are so much better Vols bballgt
0,memgrizz JaMorant nbapaint Not an all star
0,baysidemuffin8 memgrizz kelwright Vols and titans fan taking Yikes
0.35,memgrizz JaMorant nbapaint Ayo this is fuckin cool
0,teddylema LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0,Protect Chilla by ANY MEANS via YouTube raptvcom poohshiesty memgrizz
0,memgrizz kelwright JV could drop 40
0,VickyCraig99 LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz
0.8,MaddenGod42069 memgrizz kelwright Cowboys fan lol
0.4,No1LebronFan memgrizz kelwright Rent free
0.254166667,GrizzliesPR DBane0625 NBA memgrizz TCUBasketball Way to go Desmond So proud of your hard work DBane0625
0.5,LZulich LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada JLew1050 Sure is
0,memgrizz kelwright Ja isnt an all star
0,memgrizz kelwright Overrated
0,memgrizz Lets go Grizz
0,LeoRautins MattDevlin RodBlackTSN KateBeirness KayNurse11 TSNSports Raptors memgrizz NBATVCanada
0,memgrizz dillonbrooks24 Trade him its been 5 games now he show up
0,GrizzliesPR JValanciunas memgrizz Stathead Bout time we get these calls
-0.003333333,Confirmation from GrizzliesPR The 70 PTS is a season high for PTS in any HALF for the memgrizz
