polarity,tweet
0,smartdoesntflop XcelFPS IrvingsGoat MorantMoves TSGamingtreat PrimeDBane PPritchardGoat unleashnassir
0,XcelFPS IrvingsGoat MorantMoves TSGamingtreat PrimeDBane PPritchardGoat unleashnassir okcthunder Conguy09
0,CapptainCam IrvingsGoat MorantMoves TSGamingtreat PrimeDBane PPritchardGoat unleashnassir okcthunder
0,XcelFPS IrvingsGoat MorantMoves TSGamingtreat PrimeDBane PPritchardGoat unleashnassir okcthunder Conguy09
0,Circle 2IrvingsGoatMorantMovesTSGamingtreatPrimeDBanePPritchardGoatunleashnassirokcthunderConguy09
0,okcthunder You gotta show the final score
0.4,okcthunder OKC GOT A YOUNG GOOD GROUP OF GUYS THEY JUST GOTTA PUT THE WORK IN
0,okcthunder shaiglalex Thats whats called thunder up
0.35,okcthunder Top 10 people that need a real ring in order1 LeFailure 2 Flakers 3 Tom Fraudy deflated
0,okcthunder Hami and Shai once again just showing out
0,okcthunder LeWhine James
0.3,amaxxyt okcthunder your team is like 1410 and owns the Golden State Warriors why are u depressed
0.542857143,So happy for my brother hamidoudiallo Having a career year right now for the okcthunder which might be surprisi
0,Double OT against DetroitPistons and OT against okcthunder I bet RealSkipBayless loves to see the Lakers strugg
-0.018518519,okcthunder You guys were so poorly coached down the stretch How many times did you run SGA iso against lebron ins
0,ThunderND okcthunder Suicide is badass
0.6,RyanRedemption2 okcthunder U dont know basketball lmao
0.25,okcthunder Yall had us the first 3 quarters not gunna lie
0,irundownhill okcthunder the man is a poet
0.7,good morning okcthunder ily
0,KingJames dropped a tripledouble 28 PTS 14 REB 12 AST as the Lakers 196 beat the okcthunder 1013 11911
0,Watching Lakers vs okcthunder NBA
0.166666667,The OKCThunder invites 912th graders to design a poster for their Black Heritage Creative Contest Describedepic
0,February 8th 2021 okcthunder 112 vs Lakers 119 shaiglalex 29 Pts 7 Rebs 10 Asts hamidoudiallo 20 P
0.45,okcthunder Good effort from OKCGilgeousAlexander seems to be climbing to that level everybody wants to see him
0.333333333,Gswedes Lakers okcthunder KingJames AntDavis23 ACFresh21 Great bench play LeBron looked spent Exciting finish
0,amp I Dont Wear Nothing with a Nike Logo OKCThunder So whenever u get a SGA Jumpman23 Statement Jersey Thats Stitched Let Me Know
0.133333333,I need OkcThunder To Put The Real Jerseys On Their Website I dont want the cheap shit I want the One SGA wearing
