polarity,tweet
0.3965909090909091,New Episode available now We recap the sixers 31 week First win without Joel vs Pacers How valuable is B
-0.4,coachgreg03 a2dradio UtleyIsGod ToriPhilly4 sixers How the fuck did I end up a sugar daddy without knowing it
0.03333333333333333,Director of Social Media opening helping the sixers sportsbiz
0.0,NBA2K JoelEmbiid rudygobert27 Chriswood5 sixers warriors HoustonRockets utahjazz The big men are repetitiv
0.03333333333333333,JOIN THE MEME DREAM TEAM sixers are looking for a Director of Social Media
-0.2,sixers sixers Had this jersey for a few years now but can anyone tell me anything about it Ive looked all over
0.0,philsfanatic sixers BigTWil34 TheBernMitch 12ozSports HighTakes SportsPodTeam ChandlerMBing13
-0.15555555555555559,Hey sixers its going down
0.9,sixers DKSportsbook can i get a happy birthday from the best team in the nba
-0.2708333333333333,sixers DocRivers Kingsland GA black harassing what you black weak cop know your thoughts your weak waffle House I
0.0,bluecoats sixers jameernelson nbagleague DwightHoward Could be our 3rd string PG
0.0,AndreJ215 sixers SacramentoKings swipathefox no one does
-0.375,sixers DocRivers holySpirit knows your weak blacks your weak blacks you try Kane west listening will Smith holySp
0.0,On this day in 1988 the sixers Charles Barkley scored a careerhigh 47 points in a loss to the HawksJust two
0.25,Daily Dose of bettingtips PHILADELPHIA sixers are 212 ATS in road games after scoring 120 points or more since
0.0,sixers DocRivers Remember education holySpirit woke me up told me Obama checking thoughts he put your life in dan
0.26666666666666666,ScottyDrowned sixers SacramentoKings swipathefox For sure I think it will be a good game Sacramento has some
0.0,AndreJ215 sixers SacramentoKings Yessir Cant sleep on the Kings swipathefox has been on fire
-0.2333333333333333,ScottyDrowned sixers SacramentoKings Definitely gotta get some zzzzzzzs before this LATE GAME HereTheyCome
0.7,Things have not been this good for the SacramentoKings for some time Can they keep it up tonight as they host the
0.0,Instead of waiting up for this Carson Wentz trade thats never coming Im going to nap for the sixers 10pm matchu
1.0,sixers DKSportsbook Best bench in the league
0.0,NBA Predictions 29BrooklynNets gt DetroitPistons nyknicks lt MiamiHEAT HoustonRockets lt PelicansNBA
-0.2851851851851852,GAME DAY WILL THE SacramentoKings slow down the sixers Or will the sixers SHOW WHY THEY ARE THE BEAST OF T
0.8,SetsunaEffSeiei brianseltzer sixers RTNBA How about you check the Sixers win record
0.0,philsfanatic sixers BigTWil34 TheBernMitch 12ozSports NoontimeSports HighTakes SportsPodTeam
0.21428571428571427,sixers this is so pure
0.8,jr76ers Nike sixers So PROUD of you both Leilany and Naila inspire and lead our Liga Girls to join
0.6444444444444445,The sixers currently own the best record in the Eastern Conference moving up in NBA futures odds Luckily you ca
-0.05000000000000002,NBA Basketball Tonight at 10 pm ET 76ers 177 at Kings 1211 This should be a fun game as both teams are pla
0.8,sixers Great chemistry We just need Embid now to LEAD the team to a championship
0.5,amyfadoolNBCS sixers TyreseMaxey Its why we love it and this team so muchyou can see they love to play
0.0,NBCSPhilly bensimmons is the sixers perimeter defenseHereTheyCome NBAAllStar NBATwitter
0.0,My man and namesake JoelEmbiid should be MVP because the sixers lead the East but would be 1062 without him at t
0.0,sixers signed him after the draft amp now they should bring him back
0.44999999999999996,amyfadoolNBCS sixers TyreseMaxey me too hopefully its infectious in a good way to the whole team
0.8,NBA nyknicks 1H 3 5u1U to win 1U parlaysixers ML 215 trailblazers ML240
0.0,mclchri sixers NBCSPhilly 975TheFanatic If maxey starts over curry we wont lose
0.0,sixers Content we needed
0.0,ArcainiLuke MrMartinezDHS sixers Wanna bet Ask my mom
0.3,callitasitis tobias31 dmorey sixers 161718 all extremely fun teams too
1.0,sixers Ben Simmons and Joel Embiid the best duo since Kobe and Shaq
0.0,philsfanatic sixers BigTWil34 TheBernMitch 12ozSports NoontimeSports SportsPodTeam ChandlerMBing13
0.0,sixers fans join BigTWil34 at 620pm tonight on TheBernMitch on 12ozSports as we tal
0.0,anabberose1 MrMartinezDHS sixers There is just no way that shot went in
0.0,amyfadoolNBCS sixers TyreseMaxey I think Howard hit a 3 I dont think they want to practice that
0.31666666666666665,amyfadoolNBCS sixers TyreseMaxey Breathe of fresh air Hope he never loses that gets better and stays here
0.5,sixers TyreseMaxey loves life this team and basketball And I love it
0.0,sixers fans join BigTWil34 at 620pm tonight on TheBernMitch on 12ozSports as we talk
0.0,sixers fans join BigTWil34 620pm tonight on TheBernMitch on 12ozSportsas we talk ab
0.0,sixers fans join BigTWil34 at 620pm tonight on TheBernMitch on12ozSports as we talk t
-0.5,CapalotGoob sixers They are irrelevant though
-0.5,Nba76ers21 sixers Bro find me one person who follows the kings not even a fan just checks for them Nobody Irrelevant
-0.2,Dafuq Yeah ooooooookay sixers yall see this shit
