polarity,tweet
0,statmuse StephenCurry30 warriors IamKayPable give me him every time
0.2,Andrew is not doing his job as a five star player compared how much he is getting for numbers not lying we a
0.416666667,warriors SteveKerr SK has the 2nd best NBA record ovr 5yrs behnd Phil Howevr chasing ws is exactly what sport
0.2,Warriors vs Spurs Part Two Electric Boogaloo Well get ya ready plus the mother of all NFL season recaps with
0,warriors NBAAllStar Andrew Wiggins
0.4,NCTsmtown StephenCurry30 warriors KEEP WORKING ON THAT ENGLISH CHENLE YOUR DOING GREAT SWEETIE
0,The warriors try and split their Texas twostep road trip tonight versus spurs listen to our pregame at 5 with ti
0.5,chederB0B KevinOConnorNBA ringer ringernba StephenCurry30 warriors Love that were arguing something that lit
0,Yanael TweetingDubs statmuse NbaBjRMA StephenCurry30 warriors Since when is Doncic over Curry in the MVP race
0,warriors Stephen CurryNBAAllStar
-0.4,warriors NBCSAuthentic 957thegame Revenge Game
0,warriors Stephen CurryNBAAllStar
0,warriors StephenCurry30 Stephen CurryNBAAllStar
0,warriors Stephen CurryNBAAllStar
0,warriors StephenCurry30 Stephen CurryNBAAllStar
-0.266666667,warriors NBCSAuthentic 957thegame WAKE THE FUCK UP DUBNATION ITS GAMEDAY Lets forget the game last night ju
0,warriors LuckyCalif Miss klay heaps out there my klayyyy yummy guy will be back next year dynamic
0,warriors Money23Green NBCSAuthentic Draymond GreenNBAAllStar
0,warriors NBAAllStar Draymond GreenNBAAllStar
0,warriors NBAAllStar Andrew WigginsNBAAllStar
0,warriors NBAAllStar Stephen CurryNBAAllStar
0,BobMcGe23420431 KevinOConnorNBA ringer ringernba StephenCurry30 warriors Literally took the last sentence out
0.4,warriors LuckyCalif If you have a free minute please check out some of the edits that we make Feedback is alway
0,RRICH1990 warriors LuckyCalif Wait whut
0.5,warriors LuckyCalif look at nico mannion so inspirational
0,We know what it means to HowardUto have StephenCurry30 sponsor the relaunch of the universitys golf program afte
-0.2,Stephen Curry NBAAllStar Draymond Green NBAAllStar Andrew Wiggins NBAAllStar DubNation warriors NBA VOT
-0.2,Stephen Curry NBAAllStar Draymond Green NBAAllStar Andrew Wiggins NBAAllStar DubNation warriors NBA VOT
-0.3,MotzyMadeIt DKSportsbook DraftKings warriors StephenCurry30 NBA That sucks
0,MotzyMadeIt DKSportsbook DraftKings warriors StephenCurry30 NBA Ouch
0.5,Damn DKSportsbook DraftKings look at this Almost a perfect betting scale warriors is the only team that let m
0.168181818,The new Huddle and Flow podcast it out with warriors G stephoncurry30 So much ground covered here with
0,Who took the cookie from the cookie jar DejounteMurray did It was him s Murray had 8 steals against t
0.333333333,While wyche89 was off doing a kickass Super Bowl feature tewarren and I had a chance to interview honorary Biso
0.5,BobMcGe23420431 KevinOConnorNBA ringer ringernba StephenCurry30 warriors So why is Jokic the favorite for the
-0.10625,warriors NBAAllStar Srsly DubNation is still mad with that last play yesterday Draymond Green needs a huge
0,chederB0B KevinOConnorNBA ringer ringernba StephenCurry30 warriors If I disagree I shouldnt be watching bbal
0,joewrldss XGalakFlakes warriors did u just saysmart move
0,Hey Please NBA chicagobulls LosLakers warriors celtics HoustonRockets MiamiHEAT nyknicks spurs hornets
0,BrettLawrence KevinOConnorNBA ringer ringernba StephenCurry30 warriors No and I didnt think Lillard deserved
0.178571429,Past warriors players that could be more helpful than Oubre right now A THREAD
0,KayDinero14 warriors stop voting lebron curry needs to be captain
-0.145833333,Its hard to argue that Money23Green whos shooting 30 in his last 5 games has declined on offense However he
0.2,warriors You really tweeted about losing
0,warriors NBAAllStar Andrew WigginsNBAAllStar
0,warriors NBAAllStar Draymond GreenNBAAllStar
0,warriors Money23Green NBCSAuthentic Draymond GreenNBAAllStar
0.25,warriors LuckyCalif I cant stop laughing Curry flavoured with extra bit of Kelly cheese on top of it plsssss
0,warriors StephenCurry30 Stephen CurryNBAAllStar
0,warriors StephenCurry30 Stephen CurryNBAAllStar
0,warriors Stephen CurryNBAAllStar
0,warriors LuckyCalif Bring him or Poole back wanamaker is ass
0,warriors Stephen CurryNBAAllStar
0,warriors StephenCurry30 Stephen CurryNBAAllStar
0,WTH TSNSports 2days in a row warriors games not on
0,warriors Stephen CurryNBAAllStar
0,warriors StephenCurry30 Stephen CurryNBAAllStar
0,LookattCurryMan warriors LuckyCalif facts
0,warriors NBAAllStar Stephen CurryNBAAllStar
0,LeGoatJames623 warriors LuckyCalif Didnt they sweep lebrick
-0.125,BobMcGe23420431 KevinOConnorNBA ringer ringernba StephenCurry30 warriors If his team blows amp other team plays
0,LeGoatJames623 warriors LuckyCalif They did
0,warriors LuckyCalif So who is helping curry to get a WNBAAllStar StephenCurry30
0,warriors LuckyCalif Trade Dray
1,warriors LuckyCalif Curry flavored pizza tastes the best
