polarity,tweet
-0.391666667,JTreatz Raptors pskills43 Celtics made him their personal bitch in the playoffs when it mattered Are u stupid or dumb
0,Raptors pskills43 Nobody hates anybody All we ask from each player is to play with some pride and put up a fight
0,JTreatz Raptors pskills43 Blah blah blah let me see him do it vs the celtics or bucks
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 You argued those 2 things after I pointed out the discrepancy
0.35,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 the Porzingis thing is 100 true from within the organizationSource Trust me Bro
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Thats you making a declaration about a rule Me show
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Citing things that happened that counter your rule wo
0.0625,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Pretty ClearWhat about the other two things that Ive ar
0,JohnScuba12 Raptors Oh I can tell
0.175,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 privy Im arguing that your rule is BS Pretty clear
-0.4,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Also how in gods name do you cite Bargnani You really thin
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 And no Im not an NBA Insider I am pricy to some int
0.7,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 You look for the best available deal if the Sixers arent
0.5,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Im not moving goal posts Im not even sure what youre tr
0.416666667,jbwharris MapleLeafs Raptors TorontoFC TorontoArgos Senators CanadiensMTL Fine with me I havent watched sp
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 Youre moving the goal posts Im simply citing 3 tim
0.136363636,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 that trade the Raptors knew that New York never would have
0.175,PHDMAC Jm151 KingMoS FrisbeeRizvi Raptors Klow7 First of all lets get something clear dont ever compare
0,Raptors Klow7 Vote for Kyle every day every year Dont leave TO we will be heartbroken
-0.3,PJRaptorSZN 15Matt77 statmuse pskills43 Raptors Siakam gets too much hate for no reason thats what he wants to say
-0.5875,Bambaclot3 Raptors pskills43 Shot over 60 Are you stupid or dumb
-0.025,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 This management was willing to break your rule at least 3 times
0,RedDragon23 Jm151 KingMoS FrisbeeRizvi Raptors Klow7 The only reason Kyle Lowry isnt a Knick is because H
