,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN/LOSS,DATE
0,39,89,0.438,11,36,0.306,18,22,0.818,13,32,45,19,11,8,15,19,107,W,2016-04-13
1,40,80,0.5,9,24,0.375,16,18,0.889,11,26,37,19,2,4,17,20,105,L,2016-04-09
2,43,84,0.512,15,33,0.455,19,24,0.792,9,30,39,32,11,6,15,23,120,W,2016-04-06
3,40,93,0.43,12,31,0.387,23,27,0.852,19,30,49,20,12,7,14,19,115,W,2016-04-05
4,38,85,0.447,9,24,0.375,26,33,0.788,11,26,37,23,8,4,13,16,111,L,2016-04-03
5,41,79,0.519,10,15,0.667,18,23,0.783,8,37,45,21,9,4,15,19,110,W,2016-04-02
6,41,90,0.456,14,34,0.412,20,27,0.741,15,35,50,26,9,10,15,20,116,W,2016-03-31
7,38,80,0.475,14,29,0.483,15,18,0.833,5,37,42,25,6,10,19,23,105,W,2016-03-28
8,38,91,0.418,8,25,0.32,24,30,0.8,11,45,56,21,9,5,10,21,108,W,2016-03-26
9,32,80,0.4,6,24,0.25,24,32,0.75,9,32,41,18,10,5,15,25,94,L,2016-03-24
10,40,89,0.449,7,27,0.259,22,25,0.88,11,35,46,19,12,8,13,12,109,W,2016-03-23
11,42,104,0.404,18,46,0.391,18,28,0.643,22,30,52,25,9,4,14,22,120,L,2016-03-20
12,36,78,0.462,9,27,0.333,36,40,0.9,6,39,45,17,4,3,12,26,117,W,2016-03-18
13,39,89,0.438,10,22,0.455,22,30,0.733,14,35,49,23,5,6,13,22,110,L,2016-03-17
14,31,91,0.341,7,27,0.259,25,27,0.926,14,25,39,13,4,7,11,19,94,L,2016-03-14
15,47,84,0.56,17,35,0.486,10,11,0.909,9,42,51,34,2,3,15,20,121,W,2016-03-12
16,37,86,0.43,19,36,0.528,19,23,0.826,7,32,39,20,4,4,8,23,112,L,2016-03-11
17,41,89,0.461,10,24,0.417,24,31,0.774,13,40,53,24,2,4,20,27,116,W,2016-03-08
18,35,78,0.449,11,31,0.355,22,23,0.957,3,28,31,18,8,0,13,23,103,L,2016-03-06
19,39,83,0.47,11,27,0.407,26,35,0.743,10,26,36,14,5,3,11,35,115,L,2016-03-04
20,34,84,0.405,11,29,0.379,14,20,0.7,12,36,48,15,4,7,14,21,93,L,2016-03-02
21,37,88,0.42,12,30,0.4,18,20,0.9,9,46,55,17,5,7,7,18,104,W,2016-03-01
22,41,81,0.506,14,24,0.583,15,21,0.714,8,37,45,19,4,7,12,20,111,W,2016-02-28
23,38,87,0.437,5,21,0.238,22,27,0.815,8,39,47,20,6,7,10,17,103,W,2016-02-27
24,37,80,0.463,13,35,0.371,18,22,0.818,11,29,40,22,4,3,21,30,105,L,2016-02-25
25,40,80,0.5,10,23,0.435,22,25,0.88,7,33,40,24,6,6,15,18,112,W,2016-02-23
26,39,90,0.433,12,32,0.375,25,38,0.658,23,25,48,20,7,6,12,21,115,W,2016-02-21
27,52,97,0.536,17,30,0.567,16,23,0.696,8,40,48,28,12,4,13,21,137,W,2016-02-19
28,41,89,0.461,8,28,0.286,26,34,0.765,16,33,49,21,11,2,13,27,116,W,2016-02-10
29,44,89,0.494,10,29,0.345,14,20,0.7,8,29,37,22,9,6,13,23,112,W,2016-02-08
30,35,87,0.402,11,35,0.314,15,23,0.652,20,34,54,21,15,6,21,21,96,W,2016-02-06
31,38,81,0.469,10,25,0.4,17,23,0.739,10,30,40,21,8,6,14,20,103,L,2016-02-04
32,39,85,0.459,11,31,0.355,18,25,0.72,10,39,49,25,6,7,15,23,107,W,2016-02-02
33,32,76,0.421,6,27,0.222,26,30,0.867,8,29,37,16,7,5,13,21,96,W,2016-01-31
34,45,92,0.489,7,20,0.35,12,16,0.75,13,38,51,24,10,4,11,21,109,W,2016-01-29
35,44,90,0.489,9,30,0.3,15,19,0.789,10,38,48,28,6,8,12,23,112,W,2016-01-26
36,47,93,0.505,10,31,0.323,17,22,0.773,14,28,42,26,12,1,8,22,121,W,2016-01-23
37,41,94,0.436,9,31,0.29,7,11,0.636,13,37,50,23,5,4,12,18,98,L,2016-01-20
38,43,84,0.512,17,31,0.548,5,11,0.455,9,39,48,25,5,2,15,24,108,W,2016-01-18
39,34,87,0.391,5,29,0.172,16,24,0.667,9,29,38,17,6,4,13,22,89,L,2016-01-16
40,47,93,0.505,15,35,0.429,7,11,0.636,12,30,42,26,7,5,9,18,116,W,2016-01-15
41,39,88,0.443,11,26,0.423,10,15,0.667,17,37,54,25,7,10,13,20,99,W,2016-01-13
42,42,100,0.42,19,44,0.432,12,14,0.857,20,32,52,27,7,4,16,28,115,W,2016-01-10
43,38,96,0.396,12,33,0.364,20,28,0.714,12,33,45,21,12,4,9,17,108,L,2016-01-08
44,38,86,0.442,9,26,0.346,13,23,0.565,17,32,49,21,5,4,13,18,98,L,2016-01-06
45,28,72,0.389,7,28,0.25,15,24,0.625,7,35,42,14,7,4,21,19,78,L,2016-01-04
46,40,78,0.513,10,23,0.435,22,32,0.688,7,34,41,23,4,3,10,34,112,W,2016-01-03
47,35,78,0.449,16,36,0.444,10,14,0.714,8,31,39,19,1,0,10,16,96,L,2015-12-31
48,41,87,0.471,12,32,0.375,16,20,0.8,12,35,47,22,8,6,14,18,110,W,2015-12-30
49,38,92,0.413,10,33,0.303,12,16,0.75,14,38,52,19,13,5,18,23,98,W,2015-12-27
50,41,89,0.461,9,22,0.409,14,19,0.737,10,39,49,28,9,3,8,12,105,W,2015-12-26
51,33,95,0.347,7,28,0.25,16,24,0.667,22,36,58,16,7,7,13,22,89,L,2015-12-23
52,38,81,0.469,5,24,0.208,16,22,0.727,14,36,50,24,5,4,18,20,97,L,2015-12-21
53,39,80,0.488,13,34,0.382,18,22,0.818,10,32,42,23,7,0,19,24,109,L,2015-12-20
54,32,73,0.438,11,32,0.344,19,26,0.731,7,35,42,21,3,2,19,23,94,L,2015-12-18
55,32,92,0.348,11,26,0.423,15,18,0.833,17,30,47,13,6,3,18,28,90,L,2015-12-16
56,35,81,0.432,13,32,0.406,22,29,0.759,10,40,50,28,7,5,15,21,105,W,2015-12-14
57,41,89,0.461,6,21,0.286,22,29,0.759,14,25,39,15,4,0,7,22,110,L,2015-12-12
58,45,96,0.469,12,34,0.353,4,7,0.571,14,37,51,23,7,3,12,14,106,W,2015-12-11
59,40,79,0.506,11,26,0.423,9,16,0.563,10,26,36,21,3,2,18,25,100,L,2015-12-08
60,33,85,0.388,8,33,0.242,14,18,0.778,15,31,46,21,10,7,17,25,88,L,2015-12-07
61,39,77,0.506,10,20,0.5,21,30,0.7,8,32,40,23,7,3,14,21,109,W,2015-12-05
62,44,85,0.518,18,36,0.5,17,20,0.85,15,33,48,26,11,3,15,20,123,W,2015-12-03
63,41,100,0.41,15,40,0.375,15,17,0.882,13,37,50,24,6,1,15,23,112,L,2015-12-01
64,33,87,0.379,5,23,0.217,16,27,0.593,13,41,54,18,6,2,18,38,87,L,2015-11-30
65,38,78,0.487,12,30,0.4,20,26,0.769,12,34,46,24,5,2,16,16,108,W,2015-11-28
66,31,88,0.352,6,22,0.273,20,27,0.741,16,39,55,18,5,9,14,21,88,L,2015-11-24
67,43,87,0.494,8,25,0.32,13,17,0.765,7,36,43,27,7,8,10,18,107,W,2015-11-22
68,38,90,0.422,8,25,0.32,18,24,0.75,17,38,55,16,8,3,14,17,102,W,2015-11-20
69,35,88,0.398,9,30,0.3,24,29,0.828,10,38,48,18,11,7,19,27,103,L,2015-11-18
70,31,75,0.413,7,19,0.368,11,13,0.846,4,35,39,15,4,3,12,18,80,L,2015-11-16
71,35,89,0.393,5,21,0.238,19,21,0.905,16,30,46,20,5,3,12,25,94,L,2015-11-15
72,33,69,0.478,8,22,0.364,26,29,0.897,10,33,43,17,5,10,22,22,100,L,2015-11-13
73,39,88,0.443,9,22,0.409,14,23,0.609,10,26,36,26,6,3,9,15,101,L,2015-11-11
74,36,91,0.396,10,29,0.345,22,27,0.815,10,29,39,20,6,3,9,22,104,L,2015-11-09
